Ticker,Company Name,Sector,Industry,Exchange,Cash/Debt,Interest Coverage,Equity/Assets,Debt/Equity,Debt/Assets,Debt/EBITDA,F-Score,Z-Score,M-Score,WACC,RoC,FS score,FS warnings
NEE,"NextEra Energy, Inc",Utilities,Utilities-Regulated Electric,NYSE,0.01,2.25,31.44%,115.07%,37.71%,403.13%,5,1.6,-2.55,2.34%,3.89%,1.75/8.0,2
FSM,Fortuna Silver Mines Inc,Basic Materials,Silver,NYSE,0.56,52.0,67.84%,23.15%,15.71%,161.54%,5,3.77,-2.66,8.33%,3.99%,4.75/8.0,2
PAAS,Pan American Silver Corp,Basic Materials,Silver,NASDAQ,0.87,8.65,71.14%,11.17%,7.95%,60.71%,5,4.74,-1.84,8.61%,3.84%,5.5/8.0,3
AG,First Majestic Silver Corp,Basic Materials,Silver,NYSE,1.13,1.92,64.40%,23.56%,15.18%,390.00%,5,4.73,-3.83,8.74%,2.80%,4.5/8.0,1
WPM,Wheaton Precious Metals Corp,Basic Materials,Gold,NYSE,0.12,6.47,84.84%,16.41%,13.93%,229.40%,8,12.44,0.24,3.10%,4.63%,6.5/8.0,2
SSRM,SSR Mining Inc,Basic Materials,Gold,NASDAQ,2.01,4.69,64.80%,25.04%,16.71%,129.09%,7,3.43,-0.27,7.84%,7.61%,6.0/8.0,2
GPL,Great Panther Mining Limited,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,1.37,Exposed,36.90%,27.00%,10.15%,-55.10%,6,0.35,-0.02,16.09%,-26.17%,2.0/8.0,4
SVM,Silvercorp Metals Inc,Basic Materials,Silver,NYSE MKT,inf,,71.93%,0.00%,0.00%,0.00%,5,6.09,-3.32,7.03%,10.99%,7.0/8.0,0
HMLP,0,Energy,Oil & Gas Midstream,NYSE,0.08,3.2,0.00%,0.00%,0.00%,439.62%,6,0.87,-2.64,8.51%,6.94%,0.75/8.0,3
HESM,Hess Midstream LP,Energy,Oil & Gas Midstream,NYSE,0.0,6.08,0.00%,0.00%,53.51%,336.02%,7,0.61,-2.84,6.61%,12.52%,3.75/8.0,2
TGP,Teekay LNG Partners L.P,Energy,Oil & Gas Midstream,NYSE,0.24,1.75,0.00%,0.00%,34.34%,387.10%,6,0.32,-3.3,5.56%,5.12%,2.5/8.0,3
SPH,"Suburban Propane Partners, L.P",Utilities,Utilities-Regulated Gas,NYSE,0.0,1.87,0.00%,0.00%,140.86%,480.16%,3,0.91,-2.9,5.36%,6.76%,1.5/8.0,5
GMLP,Golar LNG Partners LP,Energy,Oil & Gas Midstream,NASDAQ,0.04,1.68,0.00%,0.00%,0.00%,614.65%,6,0.2,-3.04,4.19%,2.90%,1.0/8.0,3
DKL,"Delek Logistics Partners, LP",Energy,Oil & Gas Midstream,NYSE,0.01,2.68,0.00%,0.00%,138.60%,465.36%,6,1.76,-3.26,12.86%,19.12%,1.5/8.0,4
SGU,"Star Group, L.P",Energy,Oil & Gas Midstream,NYSE,0.46,9.2,0.00%,0.00%,24.17%,100.82%,3,2.36,-3.48,3.12%,8.98%,3.0/8.0,1
WES,"Western Midstream Partners, LP",Energy,Oil & Gas Midstream,NYSE,0.01,3.44,0.00%,0.00%,71.70%,498.56%,5,0.81,-2.66,13.85%,8.50%,1.25/8.0,3
TCP,"TC PipeLines, LP",Energy,Oil & Gas Midstream,NYSE,0.04,2.5,0.00%,0.00%,0.00%,432.61%,4,0.86,-3.25,5.41%,7.78%,2.0/8.0,2
GLP,Global Partners LP,Energy,Oil & Gas Midstream,NYSE,0.01,1.53,0.00%,0.00%,49.53%,515.81%,6,4.97,-2.37,7.38%,6.16%,2.75/8.0,2
HEP,"Holly Energy Partners, L.P",Energy,Oil & Gas Midstream,NYSE,0.01,3.43,0.00%,0.00%,79.98%,359.21%,5,1.03,-2.19,6.39%,12.51%,2.0/8.0,3
HLX,"Helix Energy Solutions Group, Inc",Energy,Oil & Gas Equipment & Services,NYSE,0.51,6.18,65.46%,23.88%,15.70%,214.81%,4,1.1,-2.56,13.32%,2.79%,3.75/8.0,2
CINR,Ciner Resources LP,Basic Materials,Chemicals,NYSE,0.12,17.83,0.00%,0.00%,0.00%,96.30%,4,2.46,-2.91,6.34%,26.49%,3.0/8.0,1
BKEP,"Blueknight Energy Partners, L.P",Energy,Oil & Gas Midstream,NASDAQ,0.0,2.4,0.00%,0.00%,91.10%,433.90%,7,1.53,-3.27,7.61%,12.44%,3.5/8.0,2
NS,NuStar Energy L.P,Energy,Oil & Gas Midstream,NYSE,0.0,,0.00%,0.00%,75.43%,504.91%,5,0.59,-2.51,5.29%,6.03%,2.25/8.0,2
AMKR,"Amkor Technology, Inc",Technology,Semiconductors,NASDAQ,0.62,3.19,41.82%,73.83%,0.00%,191.80%,5,2.09,-2.84,8.55%,5.65%,3.0/8.0,2
INTC,Intel Corporation,Technology,Semiconductors,NASDAQ,0.66,37.96,52.93%,44.92%,31.09%,95.93%,3,3.7,-3.12,4.74%,17.67%,4.25/8.0,2
