Name,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/Free Cash Flow,Dividend Yield,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Float Short,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Analyst Recom,Change,Stocks
Recreational Vehicles,34.5831,34.26,14.59,2.17,1.07,4.27,13.07,10.83,0.0116,0.023,0.158,0.12240000000000001,0.09140000000000001,-0.0032,0.0724,0.1119,0.1352,0.2923,0.21989999999999998,2.11,-0.0029,13
Real Estate Services,190.18439,67.95,42.9,7.08,2.2,3.02,9.4,46.84,0.0091,0.2211,0.096,0.248,0.0361,0.0233,-0.0076,0.2977,0.4825,0.3185,0.2969,2.35,0.0229,32
Real Estate-Diversified,6.50007,116.73,47.89,5.85,6.38,1.51,6.5,134.3,0.003,0.13699999999999998,0.19940000000000002,0.0184,0.051100000000000007,0.0282,0.191,0.3653,0.3601,-0.1727,-0.2384,1.7,0.0011,6
Real Estate-Development,3.18545,6.36,16.78,0.89,0.72,0.63,1.66,,0.01,0.1108,0.0712,0.3049,0.0098,0.0245,0.1519,0.1934,0.2007,-0.07980000000000001,-0.1266,2.1,0.0016,11
Railroads,422.11263,27.92,21.62,4.1,6.26,5.2,45.31,50.87,0.0149,0.0906,0.0681,0.006500000000000001,0.0143,0.0184,0.0696,0.09880000000000001,0.21559999999999999,0.23929999999999998,0.19649999999999998,2.3,-0.0003,13
Publishing,66.21229,30.32,19.81,3.91,2.39,5.07,32.95,28.67,0.0222,0.1105,0.0776,0.0472,0.0191,0.027200000000000002,0.135,0.0747,0.0441,0.015300000000000001,-0.019299999999999998,1.27,0.013000000000000001,12
Pollution & Treatment Controls,6.27428,25.65,28.0,1.33,1.92,3.69,13.68,30.35,0.0029,0.1997,0.19329999999999997,0.09449999999999999,0.0317,-0.010700000000000001,0.0834,0.172,0.2241,0.1966,0.1805,2.28,0.0111,12
Pharmaceutical Retailers,37.57051,83.11,8.41,12.2,0.23,1.78,24.41,15.12,0.0431,-0.3243,0.0681,0.0593,0.0431,0.0962,0.1333,0.1907,-0.048799999999999996,-0.2667,-0.2753,3.09,-0.0067,7
Personal Services,57.37381,43.57,27.63,4.67,3.04,8.11,12.54,32.35,0.0098,0.0951,0.0933,0.0487,0.058899999999999994,-0.0113,0.0025,0.1305,0.2652,0.2397,0.2159,2.22,0.0025,13
Paper & Paper Products,20.24958,80.27,48.11,19.21,1.35,1.49,23.03,35.66,0.0067,-0.1042,0.0418,0.0015,0.0072,-0.0338,0.13720000000000002,0.1675,0.2789,0.0304,-0.01,2.16,-0.0018,10
Packaging & Containers,162.69965,27.55,15.84,3.52,1.1,3.9,11.04,21.42,0.0192,0.08199999999999999,0.0784,0.0392,0.0187,0.006,0.0536,0.1816,0.2891,0.191,0.1765,2.31,0.0073,22
Packaged Foods,300.77989,28.38,18.36,5.92,1.66,2.44,14.93,22.52,0.0233,0.2343,0.048,0.0525,0.0432,0.0104,0.0275,0.0317,0.0526,0.0727,0.0493,2.59,0.0127,55
Other Precious Metals & Mining,6.43892,,17.96,,7.33,1.95,18.39,,0.0045000000000000005,0.2868,0.1564,0.0132,0.0713,0.0463,-0.006500000000000001,-0.0351,0.25670000000000004,-0.0541,-0.1112,2.38,0.0121,11
Other Industrial Metals & Mining,516.90908,18.89,12.22,12.56,2.96,2.59,10.89,25.62,0.0421,0.0665,0.015,0.0127,0.0161,0.0797,0.24789999999999998,0.20679999999999998,0.25429999999999997,0.22719999999999999,0.1648,1.68,0.0012,29
Oil & Gas Refining & Marketing,110.47557,82.86,37.75,,0.3,1.31,7.0,35.42,0.051699999999999996,0.029900000000000003,-0.0387,-0.0060999999999999995,0.0337,0.0695,0.3607,0.2139,-0.0735,-0.32380000000000003,-0.3407,2.13,0.0019,24
Oil & Gas Midstream,405.29316,19.87,12.05,8.53,1.42,1.62,35.79,24.59,0.0814,0.0768,0.0233,0.1603,0.0217,0.0662,0.263,0.1416,-0.0113,-0.2228,-0.2622,2.12,0.0062,69
Oil & Gas Integrated,1281.67831,59.3,17.26,23.94,0.64,0.83,5.81,33.41,0.056299999999999996,-0.0506,0.0248,-0.0397,0.0068000000000000005,0.049400000000000006,0.30269999999999997,0.14800000000000002,-0.030899999999999997,-0.3109,-0.337,2.13,0.0016,21
Oil & Gas Equipment & Services,109.80471,557.64,37.26,,0.91,1.36,5.42,17.8,0.0192,-0.2606,-0.0059,-0.0541,0.0387,0.1252,0.5151,0.3578,0.1685,-0.2701,-0.3344,2.27,0.0235,60
Oil & Gas E&P,292.21237,24.96,19.42,2.34,1.58,1.06,6.63,5.99,0.0345,-0.0483,0.1067,0.0173,0.055099999999999996,0.0784,0.3803,0.1911,-0.0519,-0.3139,-0.3875,2.14,0.004,98
Oil & Gas Drilling,5.83024,,,,0.57,0.28,1.99,7.69,0.0203,-0.1482,-0.044500000000000005,-0.1197,0.1516,0.11810000000000001,0.8534,0.7532,0.0078000000000000005,-0.5129,-0.5822999999999999,2.88,0.0301,7
Mortgage Finance,64.93741,21.26,9.57,1.04,2.38,4.03,9.36,13.63,0.0060999999999999995,0.52,0.2047,0.38130000000000003,0.07150000000000001,0.0072,-0.005,-0.0581,0.16449999999999998,-0.077,-0.037599999999999995,2.18,0.0183,19
Metal Fabrication,17.48945,34.34,30.97,2.18,0.79,2.2,6.71,13.61,0.0062,0.1985,0.1572,0.027999999999999997,0.0509,0.0739,0.2134,0.2988,0.4204,0.1325,0.1553,2.43,0.023700000000000002,14
Medical Instruments & Supplies,464.10055,69.94,30.99,6.21,6.03,4.65,21.88,57.89,0.0045000000000000005,0.1441,0.11259999999999999,0.14029999999999998,0.0276,0.024900000000000002,0.0296,0.0971,0.1825,0.2096,0.1716,2.23,0.0083,51
Medical Distribution,81.59629,21.62,10.94,2.66,0.14,6.33,7.28,9.91,0.015600000000000001,-0.0897,0.08130000000000001,0.0548,0.0404,0.0235,0.0519,0.1336,0.1258,0.1697,0.2162,2.34,0.015600000000000001,7
Medical Devices,760.77261,46.04,27.3,3.83,6.02,4.67,17.22,77.95,0.009300000000000001,0.1834,0.12029999999999999,0.1164,0.0262,0.0014000000000000002,0.023799999999999998,0.059699999999999996,0.16829999999999998,0.1398,0.1093,1.96,-0.004699999999999999,113
Medical Care Facilities,186.07520000000002,21.39,16.81,1.94,1.21,4.98,9.49,7.35,0.0036,0.1411,0.1103,0.09910000000000001,0.0406,0.0416,0.0943,0.1631,0.2986,0.1889,0.15810000000000002,2.03,0.0175,44
Marine Shipping,12.11742,20.54,10.17,2.94,1.01,0.4,7.01,7.03,0.026699999999999998,0.0163,0.0699,0.09140000000000001,0.0315,0.0333,0.2216,0.2695,0.0527,-0.2956,-0.33509999999999995,1.81,-0.001,30
Luxury Goods,26.69762,93.48,18.94,10.61,1.67,3.54,5.93,20.29,0.0106,-0.08449999999999999,0.08810000000000001,0.0144,0.0704,0.0121,0.0922,0.37200000000000005,0.32020000000000004,0.0528,0.0354,2.85,-0.0028000000000000004,7
